round,NormalFL_loss,NormalFL_f1,NormalFL_recall,NormalFL_precision,NormalFL_roc_auc,SignFlip_Attack_loss,SignFlip_Attack_f1,SignFlip_Attack_recall,SignFlip_Attack_precision,SignFlip_Attack_roc_auc,SignFlip_Defense_loss,SignFlip_Defense_f1,SignFlip_Defense_recall,SignFlip_Defense_precision,SignFlip_Defense_roc_auc,LabelFlip_Attack_loss,LabelFlip_Attack_f1,LabelFlip_Attack_recall,LabelFlip_Attack_precision,LabelFlip_Attack_roc_auc,LabelFlip_Defense_loss,LabelFlip_Defense_f1,LabelFlip_Defense_recall,LabelFlip_Defense_precision,LabelFlip_Defense_roc_auc
11,0.6892,0.0904,0.5056,0.0496,0.4996,0.484,0.0834,0.1923,0.0532,0.4927,0.6816,0.0914,0.4831,0.0505,0.5013,0.5057,0.0517,0.0496,0.054,0.5011,0.5427,0.0526,0.0588,0.0476,0.5001
12,0.682,0.0902,0.4878,0.0497,0.5007,0.4724,0.0824,0.1778,0.0536,0.4932,0.6856,0.0929,0.5043,0.0512,0.5038,0.505,0.0479,0.0463,0.0497,0.5018,0.504,0.0238,0.0159,0.0478,0.5018
13,0.6782,0.0906,0.4798,0.0501,0.4987,0.4659,0.0801,0.1633,0.0531,0.4939,0.6764,0.0926,0.4825,0.0512,0.5043,0.5017,0.0495,0.0489,0.0501,0.5018,0.6361,0.0845,0.3153,0.0488,0.5013
14,0.6909,0.091,0.5188,0.0499,0.4985,0.4672,0.0802,0.1553,0.054,0.4943,0.6878,0.0923,0.5083,0.0507,0.5029,0.5109,0.064,0.0767,0.0549,0.5015,0.5568,0.0614,0.0958,0.0452,0.5014
15,0.6896,0.0907,0.5096,0.0498,0.4983,0.4659,0.0798,0.1474,0.0547,0.4946,0.6805,0.0915,0.4858,0.0505,0.5021,0.5075,0.0641,0.078,0.0545,0.5011,0.5118,0.0351,0.0284,0.0458,0.5016
16,0.6917,0.0919,0.5228,0.0504,0.4982,0.4734,0.0801,0.1441,0.0554,0.4948,0.6868,0.0924,0.5056,0.0508,0.501,0.5043,0.0617,0.0753,0.0522,0.5002,0.6495,0.087,0.3688,0.0493,0.4988
17,0.6958,0.0921,0.5393,0.0504,0.4979,0.4847,0.0792,0.1388,0.0554,0.4951,0.6936,0.0922,0.5228,0.0505,0.5011,0.5105,0.0677,0.0925,0.0534,0.5006,0.5425,0.0574,0.0806,0.0445,0.5004
18,0.6925,0.0921,0.5354,0.0504,0.4994,0.5028,0.0789,0.1381,0.0552,0.4953,0.6879,0.0933,0.5254,0.0512,0.5013,0.5128,0.072,0.1031,0.0553,0.5013,0.5037,0.0321,0.0264,0.0409,0.5008
19,0.6853,0.092,0.5235,0.0504,0.5007,0.5211,0.0791,0.1381,0.0554,0.4954,0.6854,0.0918,0.5116,0.0504,0.5025,0.5057,0.0673,0.0879,0.0546,0.5017,0.6311,0.0847,0.3173,0.0488,0.5003
20,0.6882,0.092,0.5334,0.0503,0.5004,0.5345,0.0787,0.1362,0.0554,0.4953,0.6901,0.0932,0.5314,0.0511,0.5023,0.511,0.0679,0.0939,0.0531,0.5009,0.5399,0.0554,0.078,0.043,0.5011
